comment,label
"나는 하루 한끼 6000kcal 먹어서 친구만날때 무한리필 자주가는디
근데 요즘 위가 줄어서 많이못먹음",0
수첩 보니깐 진짜 열심히 살려는 애였네 안타깝구나..,0
당연한걸,1
다른건 몰라도 저거 하나만으로도 찍을 가치 충분했었지,1
검사직 냅두고 왜?,0
웬일로 댓글이 정상이네ㅎㅎ,1
그거 꽃 심는 비용도 다 돈드는 건데,0
나이스 저격!,0
한국은 이번여름에 45도간다는데 ㅋㅋ,0
대우영우시대,0
나 근데 어케 하는지 까먹음 진짜 못함 ㅋ,0
두번째 존나 웃기네 ㅋㅋㅋㅋ,0
지금 흑인 차별하는거임? 저분이 얼마나 힘들고 고통스럽고 외롭고 그랫으면 저렇게까지 햇겟냐? 에휴 참말로,0
짱,1
나같은 놈도 사는데 저런 성실한애가 죽네,0
에휴,0
저걸 왜 자연로그로 풀어,0
에효 씨발,0
그냥 빼고 먹어라 뭔,0
우수기업,1
자연으로 빨리좀 가라,1
맛 괜찮다,0
오,0
그래도 하나 고르라면 난 2번,1
음..그렇군요..,0
텍사스 브리스킷 바베큐,0
굳이 마지막에 이화여대생이라는걸 넣은거보면 작성자 의도가 뻔히 보이는데 ㅋㅋㅋ,0
당사자들이 잘 살면 됐지 뭐.,0
자전거타던분은 진짜 존나다행이다,0
착해질수 있었는데,1
이 당시에 친구가 소시 팬이었어서 나한테 같이 가자고 해서 따라 갔었는데 ㅋㅋㅋㅋ 애들 울던거 아직도 기억난다,0
아 바로 위위에 있네 걍 여혐하는 애들 좀 많음,0
선생도 물음표지만 학생도 좋은태도는 아님,0
와... 글자 하나로 관통하네,0
슬퍼,0
이 정도면 유전자에 각인된거 아니냐,1
축제때 저걸 웃길거라고 생각하고 문제 낸 놈은 뭔 생각인지...,0
한송이 꺾은걸 알아채다니,0
깨끗히 씻엇는데 뭐가문제,0
부인분 존나 놀라셧겟네 ㄷㄷㄷ,0
진짜임?,0
실제로 가서 구경하고 왔는데 진짜 비참하더라...근데 웃긴건 아우슈비츠 벽돌건물 외관은 내가 복무하던 대대 건물보다 멋졌음ㅋㅋ,0
막짤은 역시 미국이구나,0
내 눈에는 둘다 너무 별론데,0
여권준비해야되나,0
자연로그는 미적분 내용이잖어 ㅋㅋ,0
16?진짜 양심 어디갔냐,0
와 씨발 진짜 개짜증나겠놐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
만신에 식견까지 뛰어난,1
시공업체가 구국의 영웅이네 ㅋㅋㅋㅋㅋ,1
크으 1티어 만화가,1
1빼고 다 별론디?,1
L씨여서 설마 했는데,0
보다보니 설득력있네,0
씨발.... 하,0
이것 하나만으로도 트럼프를 뽑은 이유가 있네,1
? 진찌 그랬는지 크로스체크 해본 것임? 못찾겠는데,0
좋네 이거 ㅋㅋㅋㅋ,1
정상화!,0
경.상.도,1
"돈을 더 주던가

소름돋네 ㅋㅋㅋㅋ",0
그 선생은 인류평화를 위협한 거임 참 고약하고 못된사람이다,0
내가 기억하는건 서울 한강쪽이였나 어린아이 수소풍선 터져서 화상입은 사고,0
댓글에서 닭장냄새 난다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
닭장이잔아…,1
참 시벌 진짜 개새리들 개많네 아오,0
전라도 소식,0
아니 아무리 그래도 그렇지 12살짜리 애 상대로 그러고 싶냐,0
반찬 셀프여야 함,0
옳게된 회사,0
무한리필이 무시하는거임?,0
모두 우영우 준비!!,1
그냥 손절할 구실 찾은거같은데,0
와... 글자 하나로 관통하네,1
미국은 예전으로 돌아가야할듯,1
아빠 왔노?,0
착,1
마지막은 진심 웃겼다 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
솔직 이 글이 사실이라고 해도 양쪽 말 다 들어봐야함.,0
저건맏지,0
역시 푸짐하네,0
멋지네,0
신난다,1
과연 한송이 일까?,0
인명피해는 아예 없는거같은데?,1
해외토픽이라 다행이네,0
이게 나라다,0
이건 학생이 무조건 맞다,0
만신이시여,0
대국은 다르긴 하네 확실히 ㅋㅋㅋㅋㅋㅋㅋ,0
무섭다 무서워,0
착해진 사람은 없는건가요 ㅜ,0
음식은 전라도제,0
새까매서 탄지 안탄지 몰랐나보지,0
꼬막 먹다가 죽었다는 소리 들어본적이 없는데,0
쟤 일본팀에서 롤드컵 나왔던애 아닌가. 야하롱 아는 이름인데,0
멸균처리중이노,1
"메모해 놓은 거 봐라 하...
안타깝네",0
경상도는 어떤 곳일까…,1
ㄹㅇ..걍 무지성혐오 좆되긴하네 ㅋㅋㅋ,0
뭐 본인이 한다는데 왜케들 화가났누,0
엥? 스타후르츠가 독성이 있었노,0
"2번, 5번 둘 중 뭐가 정답이냐 이거 어렵네",0
해외토픽,0
송정역 떡갈비 골목이 있는데 거기서 정식묵으면 육전도 밑반찬으로 준다 육전맛이 진주육전 저리가라임,0
경상도 밀양,0
우투더 영투더 우,1
보면 볼 수록 한글 하나는 진짜 ㅈㄴ 잘만든듯 만능이노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
"오리탕 진짜 맛있더라
그 엄마돼지찌갠가? 거기도 진짜 맛있었음",0
씨발....,0
삼각함수는 중3때 나오지않나? 아닌가? ㅋㅋ,0
코카콜라 ㅋㅋㅋㅋ,0
P,1
옳게됐구나,1
어디서 닭장냄새나네~,0
명확한 동의는 있어야지,0
3번째는 강릉시 아니라 국민대 앞이네,0
김은숙 커리어에서 재미+작품성+예술성+영상미+대사 모든 부분에서 가장 완벽한 작품같음,0
존나 불쌍하네 시발…,0
경상도에서는 일상이구만 ㅇㅇ…,1
"와 저기 처갓집 근처라서 자주다니는곳인데,, 끔찍하다",0
광주 사람인데 송정 떡갈비 한물 간지 오래됨,0
욕심이 많고 이기적인,0
저게 왜 학생잘못,0
근데 풀이가 좀 답답하긴 하네ㅋㅋㅋ,0
친구관계는 진짜 혼자 잘해주지도 배려해주지도 마라 친구 그딴거 지나고보면 필요없어,0
나도 진주 사는데 문자 받고 1분 뒤에 드드득 흔들리더라,0
대구 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
대구,0
추워봤자 영하 15도는 ㅇㅈ 행복할 수 있겠네,0
드라마임?,0
굿굿 ㅋㅋ,0
시원하네,0
옳게 된 10대노,0
남의 물건을 왜 건드려,0
2 3 5,0
새해부터 가슴 따뜻해지는 포텐글 ^^;,0
ㅋㅋㅋㅋ 바나나 먹어라~~,1
팥이나 강낭콩도 날것으로 먹으면 죽을 수도 있다고 함 ㅋㅋ,0
역시 7시,1
행복한 한국생활되세요,0
악마도 한수접겠노 ㄷㄷ,0
옳게된 헬스장이냐 ㅋㅋㅋ,1
뭘 선동이야 저거 실제로 다 일어난일임,0
외국이노,0
세상에,0
그냥 돈주고 사먹는게 안전한 세상됐네,0
좆나 옳은말인데 ㅋㅋ,1
세상에는 진짜 개쓰레기 부모들이 넘쳐남,0
아 퇴근전 괜히봤다 혈압오른다 아 ㅡㅡ,0
와 요근래 봤던 기사중에 제일 좆같네,0
무한리필 좋은데 왜,0
다시 읽어봤는데 학생도 참 이상함,0
로피탈 정리까지 쓸듯,0
저 아버지를 지지합니다,1
다 맛있는데 비쌈,0
와씨 자전거 타던 분 큰일날뻔,0
노가다엔 의외로 여자들 있음. 나 옛날에 등록금벌려고 형틀목수할때 나 데리고 다니던 사람이 50대 아줌마였음. 이혼하고 혼자 애키우는데 캐셔나 식당일같은건 페이가 적어서 노가다 시작한게 10년 넘어간다고 이야기해줬었음.,0
오리탕 씹goat,0
보통 붙여쓰잖어 뭐 의미있나했지~ 나 한자 3급이여,0
왜 다 여자냐,0
저거 하나 500원도 안함.. 풀이가 웃긴 건 맞다만 저 사람이 학생 교육과정 배려해줄 의무는 없음 걍 풀이 해주면 끝인 그런 어플임,0
알았으니까 나갈테니까 잡지 말라고,0
대구 ㅋ,1
올바른 국가,1
그냥먹어도됨,0
혜화역가려고 기모으노ㄷㄷ,0
두번째는 봐도봐도 진짜 이해가 안감,0
부럽네,0
천일염 넣으면 쓴맛 좀 올라와서 좀 꺼리게됨,0
선조들의 지혜ㅋ,0
그 Dna라는게 있나봐,1
닥장이자나....,0
전 라 도,1
역시 한글은 잘만든 문자야~,0
옳게된 종교,1
구구절절 팩트밖에없네,0
ㄷㄷㄷㄷ저게 되는구나 어떻게 보면 ㅈㄴ 부럽네 한방에 저게 되는구나..,0
옳게된 사회,0
저 어플 몰라서 본문만 보고 선생이 이상하네 했는데 이댓글 보니까 그냥 이대녀혐오하고싶은 글이네 ㅋㅋㅋ 전문선생이면 당연히 선생잘못인데 그냥 대딩이 문제풀어주는 어플이면 교육과정까지 꿰고있으란건좀 ㅋㅋ;; 댓글보고 다시 저 대화 읽으니까 그냥 학생이 시비터는말투네,0
자연로그 안 쓰는 게 훨씬 빠른데 저렇게 길게 풀고 편하고 빠르다 하고 있네,0
이대에서 끄덕 ㅋㅋ,1
웃긴대 중간에 이모티콘 존나 기분나쁘내 왜 저런걸 파는거냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
저..전라도,1
고사리 왜 없노,0
해외는 알빠아님,1
예?,0
엄청 살기 좋은 나라임,0
뭐하는 놈이야,0
전라도같음,1
신의직장 리스트,1
족발 얼면 맛없는데,0
바퀴벌레는 박멸해야...,0
사망자 없는게 다행이지,0
수첩기록 나같아서 존나 더 안타깝다,0
와 어떻게 저런 생각을 할수가 있지? 이해가 안가네,0
또 호들갑 떨고 앉아있다,0
대본 같긴 하지만 검사는 한 번 해봐야겠다,0
시발 추워봤자 영하 15도 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
그래....넌 해라,0
2·5,0
정상화ㅋㅋ,0
옳게된 나라,0
시공업체가 구국의 영웅이네 ㅋㅋㅋㅋㅋ,0
눈높이를 맞춰줘야지..,0
이과내용인데 애초에 저 단원이랑 별개임 ㅋㅋ,0
착해졌어??? 좋아서 헐레벌떡 뛰어왔잖아!!,0
"성폭행가해자는 장사도 하면 안되고 딸도 사랑하면 안됨? 뭐가 문제라는거? 속죄하며 살아야 한다는건 동의하지만, 한번 범죄 저질렀으니 평생 괴롭힘 당해야한다는게 말이 됨?",0
한 송이 꺾었다고? ㄷㄷ,0
ㅋ 회사생활하는게 용하네.,0
잘되는 이유가 있구나,0
선조들의 지혜ㅋ,1
경상도 생활스포츠ㄷㄷ,1
해외 토픽,0
난 걍 소금은 맛소금만 쓰는데,0
피부 안타려고 입은거잔아,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ굿,0
ㄲㅂ,1
왠지 여자같은데,0
이시대의 다크나이트,1
짱,1
야 16만원에 흉가체험? 돈 아깝다 시발,0
누군가에게는 공짜였지~ㅋ,0
아 저래서 상어살은 잘못 관리하면 암모니아 냄새가 나는거군,0
드디어 정상화되는구나,1
와 이건 아니지..,0
당연한 소릴 누가 모르냐,0
궁금한데 혹시 여기 계신 분들 중에 GPT로 풀이 이용하는 분들 계시나요? 정확도가 궁금한데,0
전라도답노,0
ㅋㅋ긍까 뭔 강릉인가 했네,0
근데 몇억짜리집 현지한번 안가보고 계약하는게 더신기하네,0
더,0
오리탕 고사리 부추는 뭐야 고사리 부추 안들어가고 미나리가 들어감. 오리탕 본체는 미나리임. 성시경 유튜브에 오리탕 나오고 오리탕 처음으로 시켜서 먹어봣는데 오리탕 이미친새끼 존나 맛있더라,0
자전거 큰일날뻔했네요 ㄷ ㄷ,0
학생말투가 띠껍긴하네,0
근데 진짜 어이가 없긴하네 어떻게 방송에 나올 생각을 했지?,0
에휴,0
혹시 고향이?ㅋㅋㅋㅋ,1
싸우지 말자...,0
"원래 자연로그가 지수확장 끝나고 나오던가?
꽤 뒤에 나왔던걸로 기억하는데 요즘은 다른가보네",0
참 예술가네,1
뇌절이 너무 심하니까 뭔가 개웃기네 ㅋㅋㅋㅋ,0
개부럽다,0
복수정답인가요,0
든든하다 다음세대만 믿는다,0
"1,3 빼고..",1
수첩보니까 진짜 안타깝고 딱하다…,0
서술형 아닌 이상 굳이 돌아가는 방법 쓸 필요 없긴 함. 그냥 top-down 식으로 학습하는 게 편하더라,0
하나는 깨어있았어야 ㅋㅋㅋ,0
전문가를 공짜로 쓰려니까 그렇지,1
올바른 국가,0
광주 ㅋㅋㅋ,0
나도 요즘 더워도 경량 바람막이 입음 그게 더 시원해,0
이건 너무 극단적이다,0
노동력착취 아니노 ㅋㅋㅋㅋㅋㅋ,0
이게 맞지.,0
꽃 하나를 가져간 사람은 기소하지만 고가의 명품백을 가져간 사람은 가만히 냅두는 나라가 정상임?,0
"천일염 요즘 먹을일이 없던데
요즘 암염핑크솔트 선물로 계속 들어와서 돈주고 안사먹은지 몇년 된듯",0
딱총나무 지팡이가 실화였구나,0
"타격폼이 약간 기아 김도영 느낌인걸 봐서

전라도 분이신거 같네요",0
나라가 너무 안전해서 문제임 ㅇㅇ,0
주작이지 저런 사람이 어딨음,0
나도 선생이 잘못한거같긴 한데 막짤은 뜬금없네ㅋㅋ,0
아무도 안가도 상관 없나보지 ㅋㅋㅋㅋㅋㅋ,0
전라남도 밀양 ㅋ,0
"시발 풀이 첫줄부터 이해 못했다
뭐냐",0
이건 좋네,1
마트에 다 천일염밖에 없던데 뭐 사면됨? 대체소금을 말해줘,0
소금은 한주소금이지 알사람은 다 안다,0
저거 흔한일이다..,0
16만원을 받아도 안드갈거같은데???,0
틀린말없는게 웃김,1
진짜 생각없는사람들 많네,0
우영우영우영우,0
괜찮은 사람 만날수있다면 국가는 상관없지,0
우연히 겹치기 쉽지 않은데 고의로 그랬다고 생각할듯 ㅇㅇ,0
옳게된 부모네,0
쓰는애들 한번도 못보긴함,0
댓글 정상인거보면 쟤네도 다 아는구나,0
품질우수기업,1
미래가 밝은 회사이니 투자하라는 뜻에서 샤라웃 해주는 거임,1
복수정답 ㅋㅋㅋㅋㅋ,0
크으... 그저 만신ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,1
미국은 1800년대래!,0
라스베가스 호텔들은 카드키 1회용이던디,0
이제 안심할수가 없구나,0
밀양,1
인천이 교양의 도시였구나,0
대학에서도 왕따가 있구나,0
"쓰면 빠르고 편하데 ㅋㅋㅋㅋㅋ
그걸 누가 모르냐고 근데 그 과정을 먼저배우려고 교육과정이 있는거지 ㅅㅂㅋㅋ",0
옳게 된 나라,0
인종차별이 나쁜건 맞어,0
코로나 박멸 ㅋㅋㅋ,1
"복털조개 전 조간대 바위지역에서 족사를 이용해 바위틈에 달라붙어 산다. 조가비는 바위틈에 꼭 맞게 자라기 때문에 보통 비틀어져 있다. 조가비의 크기는 높이 2.5 cm, 길이 5 cm 정도의 가로로 긴 사각형(타원형) 모양이며, 꼭지가 앞쪽으로 기울어져 있고 뒤쪽이 더 높다",0
꽃은 자연의 것인데 뭘 훔침,0
왕따 당했나보네 안타깝네,0
노이즈마케팅인가,0
"뭐 보다가 내렸는데 여성 욕하는거든 뭐든간에
학창시절따 나쁜말한거 너무 후회댐 차라리 진심으로 누가 싫어서 모욕하고싶어서 내입에서 나온거라면 이해하겠는데

진짜 멋도 모르고 남들이 하니까 조금씩 뱉은말들이 너무 후회댐",0
외국사냐 ㅋ,1
그와중에 전라도 사투리 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 역시,1
이거지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
닭?,1
꼭 열심히 살려고 하는 사람은 일찍 죽더라 하아,0
"헬륨은 존나 비싼데 수소는 싸고
떠오르는 기체로선 헬륨보다 성능 좋아서

의외로 세계적으로 가끔 나는 사고더라

아낀다고 수소써서 참사내는 일이",0
전 라 도,0
이게 정상이지,1
존나 유쾌하네 ㅋㅋㅋ,1
선생으로서 해도되는 답변은 아니라고 본다,0
개웃기네 ㅋㅋ,0
보상 어캄? 진짜 좆됬네,0
나 맛소금만 먹는데 맛소금 뭐임?,0
베이징 존나 건조하다. 비는 가끔 오는데 눈은 진짜 안옴. 기후가 거의 준사막 수준이라 40도 넘는 한여름에도 긴팔 옷 입고 돌아다니다 그늘 밑으로 들어가면 시원람,0
와..,0
아니 돈을 더 주던가,0
"나도 이런 친구가 하나 있는데,
그 친구는 메뉴를 고를 때도 뭘 할때도 이래도 ok 저래도 ok더라..
간혹 떙기는거나 먹고픈거 있냐 물어보면
전에 갔던 000괜찮던데 어때?? 정도로 화답한다.
20년 넘는 지기인데 20번자리를 가지면 내가사더래도 그중한번은 지가 낼려고 별쇼를 다한다.

진짜 인생에서 나랑 잘맞는 친구라면 친구한테 나가는돈도 안 아까운게 맞는데...
뭘 해줘도 뭘 받아도 당연지사 여기지 말고 고마워해라. 현물이 아닌 행동으로라도 도움받았으면 꼭 고마워해라
사람을 돈으로 보면 쓰니꼴 상황나온다.",0
에라이,0
군대는 원래 저랬어 ㅋㅋ 60년 70년 넘도록 절대 바뀌지 않음 =,0
먹어도 안죽음,0
자연에서 얻는 소금은 암염이 제일 나음,0
점점 정상화가되가는거지,1
창원이면 전라남도 바로 옆이네,1
좋은 고려문화 받아들이자,0
대구란 어떤 곳일까…,0
무한리필 갈거면 가지 마라,0
혹시 중국인이신가요?,0
영상을 봐야알지,1
운동하는거 같은데,0
수소 ㄷㄷㄷㄷㄷ,0
전라도,0
이딴거 올리지마라 씨발 개좃겉네ㅔ,0
이건잘했네,1
전통방식이긴 하겠지..,0
딴데 가면 되는데 안나가는 이유는?,0
솔직히 대다수가 저 헬스장으로 가고싶을 걸,1
새까매서 탄지 안탄지 몰랐나보지,1
택시는 세이프티 가드 왜 안 만드냐? 버스는 있는데,0
아빠왔노,1
신은.. 없다…,0
이미 탔는데 또 태워먹네 미국사람들 고기먹을 줄 모르는듯,1
"전라도 김치가 그렇게 맛있다고해서 광주, 여수 갔을때 먹어봤는데 내 기준으로는 젓갈 냄새가 많이나고 간이 ㅈㄴ 셌음",0
꽃이 갖고싶으면 집에서 키워라,0
지금 독감 대유행,0
손절해라,0
여성분들이 좀 많 ....,1
손절하세요,0
맞는말이노,0
전 라 도,1
벌레 퇴치해서 세스코에서 칭찬스티커 발급,1
왜 맨날 차오는쪽을 안보냐 정면이나 반대편을쳐봐 자꾸,0
걍 다 맞는 말이네,1
올바른 부모네 ㄹㅇ;,0
밀양출신이노,1
열심히 사는 친구같은데 안타깝네..,0
우영우의 나라,0
큰 관점에서는 2번이긴 한데 5번도 복수 정답이네,0
Goat,1
부산은 어떤 곳일까..,1
아이고...가엾다,0
정상화 ㅋㅋ,0
근데 나도 고딩때 물리 첨배우는데 아직 수학에서 나오지도 않은 삼각함수 써가면서 설명하는거 보고 그 뒤로 물리 포기했다..,0
바이럴이네ㅋㅋ,0
전 세계에 이런 나라 없음,0
제발 불매해. 줄 안서고 먹어보자,0
신고 받는 사람도 자는거면 노답,0
잘하고있는거 아님?,0
바퀴벌레는 박멸해야...,1
에휴 선생할거면 제대로하던가,0
핑크소금이라도 챙겨먹어야지 그 두가지만 먹으면 안돼,0
했으면 잘살길,0
우 투더 영 투더 우~,0
"정제염+msg
그냥 말 그대로 맛있는 소금임",0
전라도 ㅋㅋㅋㅋㅋ,1
원래 외국에서는 음식 재활용해도되나?,0
아니 이걸 이렇게 이긴다고?,1
밀양,0
부 산 고 법,1
나 이대 나온 여자야!!!!!!!!,0
이게 경상도지 레전드네,1
본인 결정인덕 왜 흥분하는건지,0
"왜캐 부정적인 애들이 많냐 ㅋㅋㅋㅋㅋㅋ
절레절레",0
다들 잘못알고 있네 구청에서 법적으로 건축허가 안내줄 수가 없어서 짓고있는 상황인데 일부러 공사 중지시켜서 완공 못하게 할려고 트집잡은건데,0
해외,0
대학에서 하도 많이 써서 고딩때 썼는지 안썼는지도 기억이 안나네 ㅅㅂ,0
대구클라스,0
더 착해져라,1
오리탕은 맛있긴함,0
야무지네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
아이실드랑 원펀맨이랑 같은작가였구나,0
우리만 당할순 없지 ㅋㅋ,0
J,0
영화찍노?,0
반응이 왜 이렇게 정상적이지?ㅋㅋㅋ,0
학생이 먼저 싸움건거같은데,0
전라도잖아,1
애초에 티벳 여행 자체가 중국 정부 허가를 받아야 해서,0
손절타이밍 제대로 떴는데 오히려 친구(?) 에게 고마워해야지 ㅋㅋㅋㅋ,0
물고기도 숯불에 구우면 맛있다,0
무조건 암염!,0
뭐야 전라도 평균이네,1
대구냐,1
정상화 ㅋㅋㅋㅋㅋㅋ,1
"맞는말인데?

살거면 제대로된걸사주지 무한리필?
장난하냐?",0
지금 개종하러 갑니다,1
대체 뭔일이길래 저러냐,0
외국 음식이 참 맛있어 보이네요~,0
와 시발 16만원 내고 저기 들어가라고?,0
"이게 무슨 말임? 조수석에 와이프 앉아서 정차 중이던 차를 사람 태운 상태에서 절도, 사고 낸거?",0
그걸 왜 여자한테 푸냐고 ㅋㅋㅋㅋ 사람이면 사람답게 살아야지 참을성도 없나,0
이름이 특이하네 스페인어권이 아닌 것 같노,0
뭔 한움큼 꺾어간것도 아니고 한송이 꺾은걸 가지고 35만원 합의금을 요구하냐;;,0
쓰레드에 여자라고 안나와있는데 여자라고 확정지은 이유는 머임?,0
아아 온 세상이 변호사다..,1
오리탕은 진짜 안먹어봣음 먹어봐라...,0
대한민국에도 이랬어야했는데,1
맞말이긴해,1
ㅈㄴ 더워서 쓰려졌던거 아닌가 싶네..,0
만신이시여,1
저기서 욕하면 모욕죄로 고소당함??,0
청주야? 신안아니고?,0
"근데 저렇게 살짝 이라도 부딪히면
후속조치 어캐야됨?",0
수십억 월세 줄바에는 건물하나 사는게 낫지않나,0
신안꺼 보단 게랑드 토판염이 더 맛있는듯,0
그냥 외국인이라고 하면 될걸 꼭 중국인을 쓰네. 혐오조장하나,0
어디서 많이 본 곳 같더라ㅋㅋㅋㅋ,0
전라도였어? ㅋㅋㅋㅋㅋㅋ,1
저 사람이 잘못한거는 잘못한거고 일가친척도 고통받아야 하는게 맞나.. 결혼해서 잘 사는게 존나 아니꼽긴 하지만 사장은 걍 친척이라 써주는거 뿐이잖아,0
불량품을 배려할 필요는 없지,1
한번도 못들어본 말인데 진짜 쓰는말 맞음?,0
든든하다 다음세대만 믿는다,1
착,1
팩트) 빵빵이 바이럴이다,0
전라도ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전라도ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전라도ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전라도ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전라도ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전라도ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전라도ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전라도ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전라도ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전라도ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전라도ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전라도ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전라도ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전라도ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전라도ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전라도ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전라도ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전라도ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전라도ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
전라도노 ㅋㅋ,1
광주네,1
이미 서울 공화국이야..,0
3번째짤은 국민대있는곳인거 같은데 왜 강원도라고 나오지??..,0
영미오리탕 서울에도 있어 얘들아 한번쯤은 먹을만함,0
둘 다 피곤하긴혀,0
